集計開始,集計終了,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
2020/9/27,2020/10/3,22.7,26.3,19.4,4,0,1008.7,3,47.9,0
2020/10/4,2020/10/10,20.8,24.2,18.2,99.5,0,1012.5,5.4,17.4,0
2020/10/11,2020/10/17,20.3,24,17.9,19,0,1013.3,2.8,46.1,0
2020/10/18,2020/10/24,17.6,20.9,14.2,34,0,1013.8,4,37.2,0
2020/10/25,2020/10/31,16.1,19.8,12.6,0,0,1016.7,2.9,57.8,0
2020/11/1,2020/11/7,15.8,19,12.1,43.5,0,1016.7,3.5,33.6,0
2020/11/8,2020/11/14,14.2,17.8,11.1,0,0,1020.8,3.3,42.8,0
2020/11/15,2020/11/21,18,21.4,14,4.5,0,1018.2,3.2,50.4,0
2020/11/22,2020/11/28,13.5,16.6,10.2,0.5,0,1017.4,3.1,37.8,0
2020/11/29,2020/12/5,11.2,15.1,7.9,0,0,1021.3,2.9,52.5,0
2020/12/6,2020/12/12,11.7,15.2,8.4,0,1,1016.8,2.6,50.1,0
2020/12/13,2020/12/19,6.5,9.9,3.6,0,0,1015.9,4.9,31.9,0
2020/12/20,2020/12/26,7.4,11,4.2,2,0,1018.4,3.4,44.8,0
2020/12/27,2021/1/2,6.6,10,3.3,11.5,0,1014.6,4.1,39.8,0
2021/1/3,2021/1/9,3.9,7.1,1.1,0,0,1016.5,4.7,35.9,0
2021/1/10,2021/1/16,6,10,2.3,3,0,1016.5,3,40.8,0
2021/1/17,2021/1/23,6.3,9.1,3.3,33.5,0,1018.8,3,34.4,0
2021/1/24,2021/1/30,8.4,12.1,5.4,18,0,1015,4.2,37.4,0
2021/1/31,2021/2/6,8.1,12.1,4.2,5.5,0,1017.3,3.6,45.8,0
2021/2/7,2021/2/13,8.9,12.6,4.9,0,0,1018.2,3.1,49.5,0
2021/2/14,2021/2/20,8.1,12,4.1,25.5,0,1007.9,4.8,47.4,0
2021/2/21,2021/2/27,9.7,14.1,5.6,3,0,1017.1,3.9,51.6,0
2021/2/28,2021/3/6,11.2,15.7,6.5,24,0,1019.8,4.7,34.3,0
2021/3/7,2021/3/13,10.1,14.2,6.3,27.5,0,1019.1,3.4,34.6,0
2021/3/14,2021/3/20,12.6,17.3,8,2,0,1013.7,3,56.3,0
2021/3/21,2021/3/27,12.9,17,8.8,29.5,0,1014.8,3.3,51,0
2021/3/28,2021/4/3,16.9,20.8,13.5,14,0,1010.8,3.5,48.2,0
2021/4/4,2021/4/10,13.2,17.1,9.3,23,0,1014.9,3.5,56.1,0
2021/4/11,2021/4/17,15,18.9,11,45.5,0,1016.5,4,35.5,0
2021/4/18,2021/4/24,16.3,20.9,12,2.5,0,1014.4,3.4,70.4,0
2021/4/25,2021/5/1,16.1,20.1,12.3,100,0,1010.3,3.6,46.2,0
2021/5/2,2021/5/8,16.8,20,13.3,43,0,1010.6,3.2,41.6,0
2021/5/9,2021/5/15,20.3,24.5,16.7,6,0,1009.4,4.9,47.5,0
2021/5/16,2021/5/22,21,23.5,19.2,155,0,1005.3,3.7,7.3,0
2021/5/23,2021/5/29,20.3,23.3,17.3,39.5,0,1003.8,3.3,41.2,0
2021/5/30,2021/6/5,22,25.8,18.8,34,0,1006.7,3.2,53.5,0
2021/6/6,2021/6/12,24.2,28.1,21,0,0,1011.8,2.9,58.8,0
2021/6/13,2021/6/19,23.3,26,21.2,57.5,0,1002.2,3.2,32,0
2021/6/20,2021/6/26,24.1,27.8,21.4,0,0,1005.2,2.8,43.5,0
2021/6/27,2021/7/3,24.8,27.4,22.5,47.5,0,1003.9,4,22.9,0
2021/7/4,2021/7/10,26.6,29.3,24.8,123.5,0,1006.6,2.9,6.2,0
2021/7/11,2021/7/17,27,31.1,24.1,23.5,0,1011.2,3.3,37.9,0
2021/7/18,2021/7/24,28.5,33.2,26,0,0,1009.4,3.6,82.9,0
2021/7/25,2021/7/31,29,33.2,26.5,0,0,999.7,3.2,65.1,0
2021/8/1,2021/8/7,29.6,34.4,27.1,36,0,1002.7,4,62.8,0
2021/8/8,2021/8/14,27.2,29.6,25.3,136.5,0,1002.7,4.5,22.6,0
2021/8/15,2021/8/21,25.1,27.6,23,195,0,1009.9,3.2,8.7,0
2021/8/22,2021/8/28,28.4,31.4,26.4,1,0,1008.9,3.2,43.9,0
2021/8/29,2021/9/4,27.2,29.8,25.2,77.5,0,1008,3.2,29.1,0
2021/9/5,2021/9/11,25.5,28.9,22.6,44,0,1009.9,3.1,42.3,0
2021/9/12,2021/9/18,24.3,26.9,22.1,65,0,1009.7,3.2,10,0
2021/9/19,2021/9/25,25.6,29.5,22.8,0.5,0,1011.6,3.6,53.3,0
2021/9/26,2021/10/2,24.6,27.9,21.9,0.5,0,1008.6,5,33.9,0
2021/10/3,2021/10/9,24.9,28.6,21.6,0,1,1017.9,2.8,70.5,0
2021/10/10,2021/10/16,24.2,27.5,21.7,4,0,1014.8,3,39.1,0
2021/10/17,2021/10/23,15.7,19.1,12.8,8,0,1014.6,3.8,38.2,0
2021/10/24,2021/10/30,16.6,20.6,13,29.5,0,1017.2,3.8,45,0
2021/10/31,2021/11/6,17.5,21.2,14,1.5,0,1015.1,2.8,47.6,0
2021/11/7,2021/11/13,15,18.3,12.2,26,0,1009.9,5.2,26.9,0
2021/11/14,2021/11/20,14.7,18.7,11.2,0,1,1016.1,2.4,53.4,0
2021/11/21,2021/11/27,12.5,15.6,9.3,33,0,1013.8,4.2,34.6,0
2021/11/28,2021/12/4,10.2,14.8,6.3,58,0,1016.9,4,47.6,0
2021/12/5,2021/12/11,11.3,14.1,8.5,6,0,1021.6,2.5,31.5,0
2021/12/12,2021/12/18,9.6,13.5,5.6,28,0,1014.7,4.1,40.8,0
2021/12/19,2021/12/25,8.9,12.3,5.2,0.5,0,1014.8,3.5,35.8,0
2021/12/26,2022/1/1,4.9,8,1.9,0.5,0,1017.6,5,35.1,0
